Protein	Description	Median expression level	IQR (Log2 FC)	Intra-ind  CV	Inter-ind CV	FDA drug target
CRH	corticotropin releasing hormone	5.921	0.160	0.045	0.111	no
FGF2	fibroblast growth factor 2	5.224	0.159	0.061	0.121	yes
BTC	betacellulin	5.651	0.158	0.069	0.123	no
CCL24	C-C motif chemokine ligand 24	7.978	0.157	0.034	0.109	no
TCL1A	T cell leukemia/lymphoma 1A	8.631	0.157	0.039	0.117	no
STX6	syntaxin 6	6.923	0.156	0.085	0.113	no
ALDH3A1	aldehyde dehydrogenase 3 family member A1	4.231	0.153	0.071	0.139	no
MSMB	microseminoprotein beta	6.132	0.151	0.034	0.120	no
TDRKH	tudor and KH domain containing	7.777	0.149	0.076	0.121	no
AMN	amnion associated transmembrane protein	6.599	0.149	0.025	0.099	no
SFTPD	surfactant protein D	6.069	0.148	0.043	0.106	no
OMG	oligodendrocyte myelin glycoprotein	5.936	0.145	0.050	0.100	no
CRTAC1	cartilage acidic protein 1	5.687	0.145	0.039	0.111	no
CA6	carbonic anhydrase 6	5.288	0.144	0.038	0.118	no
TMPRSS15	transmembrane serine protease 15	4.194	0.144	0.054	0.106	no
ZBTB16	zinc finger and BTB domain containing 16	6.589	0.142	0.069	0.113	no
CDKN1A	cyclin dependent kinase inhibitor 1A	9.033	0.142	0.082	0.103	no
SMAD1	SMAD family member 1	7.062	0.142	0.087	0.109	no
IL4	interleukin 4	3.862	0.142	0.084	0.201	no
ITM2A	integral membrane protein 2A	5.400	0.141	0.082	0.102	no
IL24	interleukin 24	4.441	0.140	0.086	0.165	no
LAIR2	leukocyte associated immunoglobulin like receptor 2	7.259	0.140	0.022	0.159	no
TREM1	triggering receptor expressed on myeloid cells 1	2.962	0.139	0.050	0.107	no
OSM	oncostatin M	6.396	0.139	0.054	0.102	no
LILRB5	leukocyte immunoglobulin like receptor B5	7.494	0.139	0.027	0.116	no
CBL	Cbl proto-oncogene	7.023	0.138	0.082	0.109	no
CHIT1	chitinase 1	7.856	0.137	0.026	0.170	no
PSMA1	proteasome subunit alpha 1	4.156	0.137	0.038	0.157	no
FKBP4	FK506 binding protein 4	5.944	0.137	0.088	0.098	no
IL7R	interleukin 7 receptor	4.557	0.136	0.052	0.099	no
FGF21	fibroblast growth factor 21	9.926	0.136	0.057	0.100	no
IL6	interleukin 6	5.706	0.134	0.056	0.108	yes
MME	membrane metalloendopeptidase	6.167	0.134	0.034	0.116	yes
TACC3	transforming acidic coiled-coil containing protein 3	8.155	0.131	0.080	0.113	no
PAK4	p21 (RAC1) activated kinase 4	6.295	0.131	0.074	0.089	no
GRAP2	GRB2-related adaptor protein 2	9.945	0.130	0.081	0.099	no
PRKCQ	protein kinase C theta	4.747	0.130	0.072	0.116	no
TRIM5	tripartite motif containing 5	6.425	0.130	0.065	0.094	no
TSHB	thyroid stimulating hormone beta	7.350	0.129	0.042	0.099	no
CCL20	C-C motif chemokine ligand 20	8.983	0.129	0.042	0.122	no
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	3.939	0.128	0.068	0.104	no
RNASE3	ribonuclease A family member 3	5.377	0.128	0.057	0.098	no
CTSH	cathepsin H	5.908	0.128	0.036	0.088	no
ARNT	aryl hydrocarbon receptor nuclear translocator	4.591	0.128	0.062	0.218	no
LAT2	linker for activation of T cells family member 2	8.427	0.127	0.065	0.089	no
WASF1	WAS protein family member 1	8.645	0.127	0.066	0.099	no
COMT	catechol-O-methyltransferase	7.032	0.126	0.075	0.089	yes
FCGR2B	Fc fragment of IgG receptor IIb	6.169	0.125	0.043	0.096	yes
MBL2	mannose binding lectin 2	12.302	0.125	0.024	0.099	no
FCRLB	Fc receptor like B	5.110	0.125	0.034	0.174	no
DDX58	DExD/H-box helicase 58	6.565	0.125	0.064	0.087	no
TSLP	thymic stromal lymphopoietin	3.464	0.124	0.083	0.105	no
SCAMP3	secretory carrier membrane protein 3	10.640	0.124	0.067	0.092	no
LYPD1	LY6/PLAUR domain containing 1	3.612	0.124	0.044	0.205	no
EDAR	ectodysplasin A receptor	6.890	0.124	0.053	0.104	no
PDGFA	platelet derived growth factor subunit A	6.927	0.124	0.073	0.098	no
USP8	ubiquitin specific peptidase 8	5.377	0.123	0.075	0.088	no
CLEC4D	C-type lectin domain family 4 member D	5.317	0.123	0.039	0.097	no
NFATC1	nuclear factor of activated T cells 1	7.716	0.123	0.069	0.094	no
EIF5A	eukaryotic translation initiation factor 5A	3.715	0.122	0.067	0.092	no
PTPN6	protein tyrosine phosphatase, non-receptor type 6	7.366	0.122	0.081	0.094	no
VEGFC	vascular endothelial growth factor C	4.645	0.121	0.053	0.121	no
IL13	interleukin 13	3.767	0.120	0.065	0.111	no
BLVRB	biliverdin reductase B	3.987	0.120	0.078	0.074	yes
CES1	carboxylesterase 1	5.154	0.119	0.053	0.103	yes
MAGED1	MAGE family member D1	3.328	0.119	0.075	0.108	no
APP	amyloid beta precursor protein	5.179	0.119	0.073	0.091	yes
TNC	tenascin C	5.216	0.118	0.038	0.085	no
PRKRA	protein activator of interferon induced protein kinase EIF2AK2	4.917	0.118	0.062	0.093	no
CRNN	cornulin	8.676	0.118	0.030	0.093	no
MESD	mesoderm development LRP chaperone	8.695	0.118	0.075	0.103	no
CD2AP	CD2 associated protein	10.624	0.116	0.069	0.084	no
EPO	erythropoietin	4.337	0.116	0.045	0.149	no
FABP6	fatty acid binding protein 6	5.760	0.115	0.058	0.099	no
S100A12	S100 calcium binding protein A12	4.765	0.114	0.067	0.106	no
IL22RA1	interleukin 22 receptor subunit alpha 1	5.357	0.114	0.075	0.081	no
CA9	carbonic anhydrase 9	7.176	0.114	0.042	0.101	no
TRAF2	TNF receptor associated factor 2	7.188	0.114	0.069	0.080	no
CRKL	CRK like proto-oncogene, adaptor protein	8.824	0.114	0.079	0.101	no
INPPL1	inositol polyphosphate phosphatase like 1	8.461	0.113	0.070	0.089	no
CHRDL2	chordin like 2	5.906	0.113	0.040	0.091	no
FABP9	fatty acid binding protein 9	4.865	0.113	0.035	0.087	no
MSLN	mesothelin	7.150	0.112	0.022	0.084	no
GCG	glucagon	5.469	0.112	0.060	0.095	no
IL5RA	interleukin 5 receptor subunit alpha	6.694	0.112	0.024	0.083	yes
DKKL1	dickkopf like acrosomal protein 1	5.371	0.112	0.026	0.091	no
GZMB	granzyme B	6.067	0.112	0.049	0.097	no
MICA/B	MHC class I polypeptide-related sequence A/B	7.985	0.112	0.017	0.176	no
PLAT	plasminogen activator, tissue type	8.888	0.112	0.054	0.062	yes
CALCA	calcitonin related polypeptide alpha	8.558	0.112	0.030	0.091	no
SPRY2	sprouty RTK signaling antagonist 2	8.595	0.112	0.066	0.093	no
CAPG	capping actin protein, gelsolin like	6.171	0.111	0.028	0.083	no
CHI3L1	chitinase 3 like 1	6.449	0.111	0.044	0.105	no
BCR	BCR, RhoGEF and GTPase activating protein	9.505	0.111	0.064	0.086	yes
LTBP2	latent transforming growth factor beta binding protein 2	3.450	0.111	0.080	0.093	no
LYAR	Ly1 antibody reactive	3.144	0.110	0.062	0.114	no
CA3	carbonic anhydrase 3	3.634	0.110	0.056	0.082	yes
PPY	pancreatic polypeptide	11.804	0.109	0.031	0.087	no
SNAP23	synaptosome associated protein 23	8.167	0.109	0.074	0.094	no
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	9.105	0.109	0.020	0.076	no
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	11.435	0.109	0.073	0.084	no
ERBIN	erbb2 interacting protein	8.670	0.109	0.067	0.084	no
CRISP2	cysteine rich secretory protein 2	10.298	0.108	0.018	0.083	no
KRT19	keratin 19	7.274	0.108	0.058	0.087	no
METAP1D	methionyl aminopeptidase type 1D, mitochondrial	9.070	0.107	0.061	0.088	no
LDLR	low density lipoprotein receptor	7.225	0.107	0.038	0.078	no
MUC16	mucin 16, cell surface associated	7.802	0.106	0.027	0.088	no
GAL	galanin and GMAP prepropeptide	9.708	0.106	0.034	0.068	no
ALDH1A1	aldehyde dehydrogenase 1 family member A1	5.654	0.106	0.065	0.068	no
NFATC3	nuclear factor of activated T cells 3	4.073	0.106	0.040	0.107	no
FCGR2A	Fc fragment of IgG receptor IIa	5.863	0.105	0.030	0.093	yes
IL17A	interleukin 17A	4.611	0.105	0.047	0.096	yes
DCTN1	dynactin subunit 1	9.173	0.105	0.065	0.071	no
NMNAT1	nicotinamide nucleotide adenylyltransferase 1	6.067	0.105	0.046	0.082	no
PPP1R9B	protein phosphatase 1 regulatory subunit 9B	9.687	0.105	0.060	0.080	no
PARP1	poly(ADP-ribose) polymerase 1	5.520	0.105	0.057	0.069	yes
PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	6.060	0.104	0.058	0.094	yes
PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	8.423	0.104	0.045	0.073	no
GZMH	granzyme H	7.653	0.104	0.037	0.089	no
TMSB10	thymosin beta 10	8.168	0.104	0.060	0.079	no
FOXO1	forkhead box O1	7.754	0.104	0.066	0.084	no
SERPINA9	serpin family A member 9	6.221	0.103	0.040	0.078	no
SCGB3A1	secretoglobin family 3A member 1	6.869	0.103	0.027	0.082	no
CLEC6A	C-type lectin domain containing 6A	5.096	0.102	0.045	0.088	no
FGF19	fibroblast growth factor 19	10.939	0.102	0.054	0.079	no
CNTNAP2	contactin associated protein like 2	4.925	0.102	0.028	0.085	no
MMP9	matrix metallopeptidase 9	7.968	0.102	0.040	0.077	yes
DPP7	dipeptidyl peptidase 7	4.604	0.102	0.050	0.073	no
SERPINE1	serpin family E member 1	9.035	0.101	0.047	0.074	yes
IL17C	interleukin 17C	4.444	0.101	0.053	0.111	no
SH2D1A	SH2 domain containing 1A	5.445	0.101	0.043	0.105	no
CCL7	C-C motif chemokine ligand 7	4.991	0.101	0.047	0.108	no
PAPPA	pappalysin 1	7.146	0.100	0.031	0.067	no
IL1RN	interleukin 1 receptor antagonist	7.579	0.100	0.035	0.078	no
MMP1	matrix metallopeptidase 1	13.678	0.100	0.039	0.073	yes
CSF3	colony stimulating factor 3	5.529	0.099	0.048	0.094	no
CXADR	CXADR, Ig-like cell adhesion molecule	5.149	0.099	0.036	0.080	no
PECAM1	platelet and endothelial cell adhesion molecule 1	8.815	0.099	0.061	0.069	no
FXYD5	FXYD domain containing ion transport regulator 5	5.422	0.099	0.056	0.077	no
FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	3.597	0.098	0.043	0.165	no
SAA4	serum amyloid A4, constitutive	6.213	0.098	0.036	0.067	no
SOD1	superoxide dismutase 1	5.216	0.098	0.058	0.090	no
GPC5	glypican 5	7.860	0.098	0.031	0.071	no
TOP2B	DNA topoisomerase II beta	6.934	0.097	0.052	0.065	yes
UMOD	uromodulin	4.479	0.097	0.038	0.062	no
ARSB	arylsulfatase B	5.293	0.097	0.054	0.077	no
CPXM1	carboxypeptidase X, M14 family member 1	8.143	0.097	0.047	0.079	no
FETUB	fetuin B	4.470	0.097	0.046	0.075	no
CXCL11	C-X-C motif chemokine ligand 11	11.406	0.097	0.045	0.073	no
ARHGEF12	Rho guanine nucleotide exchange factor 12	9.506	0.096	0.060	0.086	no
PON2	paraoxonase 2	5.412	0.096	0.032	0.076	no
FCGR3B	Fc fragment of IgG receptor IIIb	7.250	0.096	0.026	0.074	yes
ITGAM	integrin subunit alpha M	4.554	0.095	0.057	0.074	no
GNLY	granulysin	4.344	0.095	0.046	0.092	no
PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	8.625	0.095	0.062	0.076	no
FABP4	fatty acid binding protein 4	8.483	0.095	0.034	0.072	no
ARTN	artemin	3.524	0.095	0.052	0.132	no
PLIN1	perilipin 1	6.248	0.094	0.039	0.077	no
CD69	CD69 molecule	9.647	0.094	0.053	0.077	no
CLMP	CXADR like membrane protein	6.575	0.094	0.036	0.066	no
FCRL6	Fc receptor like 6	6.929	0.094	0.026	0.072	no
IL17RB	interleukin 17 receptor B	8.403	0.094	0.021	0.070	no
DSG4	desmoglein 4	6.960	0.094	0.027	0.084	no
APLP1	amyloid beta precursor like protein 1	10.589	0.094	0.045	0.053	no
BST1	bone marrow stromal cell antigen 1	4.835	0.094	0.044	0.068	no
CSTB	cystatin B	7.049	0.094	0.038	0.068	no
CLEC7A	C-type lectin domain containing 7A	6.379	0.094	0.023	0.090	no
RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	5.343	0.093	0.053	0.070	yes
TPSAB1	tryptase alpha/beta 1	7.670	0.093	0.019	0.085	no
KAZALD1	Kazal type serine peptidase inhibitor domain 1	7.183	0.093	0.022	0.084	no
ACP6	acid phosphatase 6, lysophosphatidic	7.520	0.093	0.028	0.070	no
PRSS2	serine protease 2	5.761	0.093	0.036	0.076	no
FUCA1	alpha-L-fucosidase 1	9.340	0.093	0.027	0.082	no
IRF9	interferon regulatory factor 9	5.800	0.093	0.051	0.065	no
VIM	vimentin	7.477	0.093	0.049	0.073	no
AZU1	azurocidin 1	5.350	0.093	0.042	0.076	no
CD70	CD70 molecule	6.903	0.092	0.034	0.063	no
CCL17	C-C motif chemokine ligand 17	12.622	0.092	0.037	0.066	no
TNFSF11	TNF superfamily member 11	7.914	0.092	0.035	0.071	yes
SUMF2	sulfatase modifying factor 2	8.535	0.092	0.045	0.065	no
ITGB1BP1	integrin subunit beta 1 binding protein 1	4.247	0.092	0.066	0.083	no
SLAMF1	signaling lymphocytic activation molecule family member 1	4.746	0.092	0.034	0.070	no
NOS3	nitric oxide synthase 3	4.513	0.092	0.054	0.069	yes
BLMH	bleomycin hydrolase	5.619	0.091	0.053	0.067	no
YES1	YES proto-oncogene 1, Src family tyrosine kinase	11.884	0.091	0.054	0.074	yes
TFF2	trefoil factor 2	7.598	0.090	0.027	0.076	no
IL1RL1	interleukin 1 receptor like 1	7.449	0.090	0.029	0.069	no
PSIP1	PC4 and SFRS1 interacting protein 1	5.518	0.090	0.040	0.077	no
DRAXIN	dorsal inhibitory axon guidance protein	6.345	0.090	0.028	0.063	no
FAP	fibroblast activation protein alpha	4.355	0.090	0.048	0.070	no
NADK	NAD kinase	6.478	0.089	0.039	0.072	no
DDAH1	dimethylarginine dimethylaminohydrolase 1	5.142	0.089	0.053	0.107	no
OMD	osteomodulin	8.272	0.089	0.027	0.071	no
SIT1	signaling threshold regulating transmembrane adaptor 1	5.857	0.089	0.039	0.067	no
NAAA	N-acylethanolamine acid amidase	6.999	0.089	0.030	0.076	no
ARG1	arginase 1	5.239	0.089	0.051	0.072	no
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	4.497	0.089	0.053	0.063	yes
SLAMF8	SLAM family member 8	5.517	0.089	0.030	0.073	no
CSF2RA	colony stimulating factor 2 receptor alpha subunit	9.758	0.088	0.013	0.068	yes
LAMP3	lysosomal associated membrane protein 3	7.468	0.088	0.028	0.063	no
PPIB	peptidylprolyl isomerase B	8.759	0.088	0.060	0.079	no
CADM3	cell adhesion molecule 3	6.197	0.088	0.028	0.068	no
MVK	mevalonate kinase	7.622	0.087	0.051	0.069	no
PRTN3	proteinase 3	6.822	0.087	0.029	0.059	no
ASAH2	N-acylsphingosine amidohydrolase 2	7.365	0.087	0.022	0.094	no
IL10RA	interleukin 10 receptor subunit alpha	3.977	0.087	0.044	0.134	no
TNR	tenascin R	7.971	0.086	0.022	0.064	no
IL2RB	interleukin 2 receptor subunit beta	4.504	0.086	0.045	0.113	yes
HEXIM1	hexamethylene bisacetamide inducible 1	9.976	0.086	0.050	0.066	no
FCRL3	Fc receptor like 3	5.054	0.086	0.025	0.071	no
CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8	6.898	0.086	0.038	0.056	no
CCL18	C-C motif chemokine ligand 18	9.035	0.086	0.026	0.071	no
CLUL1	clusterin like 1	7.477	0.086	0.025	0.062	no
GLRX	glutaredoxin	4.508	0.086	0.052	0.060	no
IL12B	interleukin 12B	10.833	0.086	0.015	0.048	yes
ANXA4	annexin A4	5.258	0.085	0.055	0.066	no
NPPC	natriuretic peptide C	6.672	0.085	0.030	0.068	no
PXN	paxillin	5.858	0.085	0.034	0.063	no
ENO2	enolase 2	9.145	0.085	0.056	0.068	no
CXCL6	C-X-C motif chemokine ligand 6	12.414	0.085	0.040	0.061	no
IL20RA	interleukin 20 receptor subunit alpha	4.067	0.085	0.045	0.088	no
SNAP29	synaptosome associated protein 29	10.387	0.084	0.051	0.075	no
PLA2G7	phospholipase A2 group VII	4.616	0.084	0.046	0.061	no
BANK1	B cell scaffold protein with ankyrin repeats 1	11.671	0.084	0.055	0.067	no
CD300LF	CD300 molecule like family member f	8.779	0.084	0.020	0.062	no
WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1	6.253	0.084	0.020	0.060	no
RTN4R	reticulon 4 receptor	5.232	0.083	0.033	0.059	no
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	4.905	0.083	0.047	0.065	no
CPA1	carboxypeptidase A1	9.123	0.083	0.028	0.073	no
FUT3/5	fucosyltransferase 3/5	6.943	0.083	0.027	0.062	no
ROR1	receptor tyrosine kinase like orphan receptor 1	5.828	0.083	0.034	0.057	no
FGF23	fibroblast growth factor 23	5.871	0.083	0.036	0.062	no
CPB1	carboxypeptidase B1	8.922	0.083	0.028	0.067	no
MMP3	matrix metallopeptidase 3	10.560	0.083	0.023	0.060	yes
MSTN	myostatin	7.940	0.083	0.025	0.058	no
LIF	LIF, interleukin 6 family cytokine	3.356	0.083	0.048	0.077	no
CNDP1	carnosine dipeptidase 1	6.104	0.083	0.038	0.061	no
HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	6.085	0.083	0.026	0.065	no
XG	Xg blood group	8.053	0.082	0.024	0.054	no
APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	5.124	0.082	0.037	0.074	no
IL17RA	interleukin 17 receptor A	7.392	0.082	0.032	0.066	no
TIGAR	TP53 induced glycolysis regulatory phosphatase	4.746	0.082	0.043	0.071	no
PILRB	paired immunoglobin-like type 2 receptor beta	8.915	0.081	0.025	0.061	no
TIMD4	T cell immunoglobulin and mucin domain containing 4	6.775	0.081	0.027	0.063	no
CALR	calreticulin	3.721	0.081	0.050	0.050	no
DKK4	dickkopf WNT signaling pathway inhibitor 4	6.698	0.081	0.036	0.059	no
PON3	paraoxonase 3	10.030	0.081	0.024	0.057	no
NUCB2	nucleobindin 2	8.414	0.081	0.042	0.057	no
VAMP5	vesicle associated membrane protein 5	4.517	0.080	0.045	0.075	no
SKAP1	src kinase associated phosphoprotein 1	8.788	0.080	0.030	0.058	no
IGFBP2	insulin like growth factor binding protein 2	11.154	0.080	0.022	0.055	no
TNFRSF10C	TNF receptor superfamily member 10c	10.003	0.080	0.019	0.054	no
THBS4	thrombospondin 4	8.130	0.079	0.028	0.064	no
MGMT	O-6-methylguanine-DNA methyltransferase	9.909	0.079	0.046	0.081	no
TRIM21	tripartite motif containing 21	7.771	0.079	0.049	0.065	no
MILR1	mast cell immunoglobulin like receptor 1	6.603	0.079	0.022	0.060	no
CLSPN	claspin	4.107	0.079	0.049	0.107	no
SERPINB6	serpin family B member 6	8.226	0.079	0.051	0.056	no
HCLS1	hematopoietic cell-specific Lyn substrate 1	10.088	0.079	0.048	0.065	no
CXCL9	C-X-C motif chemokine ligand 9	10.218	0.079	0.033	0.079	no
FCRL1	Fc receptor like 1	8.281	0.079	0.022	0.056	no
REG3A	regenerating family member 3 alpha	3.534	0.079	0.048	0.063	no
TGFBR3	transforming growth factor beta receptor 3	5.533	0.078	0.039	0.066	no
MPO	myeloperoxidase	6.076	0.078	0.032	0.075	no
LILRB1	leukocyte immunoglobulin like receptor B1	4.301	0.078	0.038	0.055	no
AGRP	agouti related neuropeptide	7.156	0.078	0.039	0.054	no
NTF4	neurotrophin 4	5.066	0.078	0.041	0.084	no
HPGDS	hematopoietic prostaglandin D synthase	5.451	0.078	0.026	0.057	no
DGKZ	diacylglycerol kinase zeta	3.479	0.078	0.050	0.098	no
CA2	carbonic anhydrase 2	9.669	0.077	0.041	0.056	yes
FCER2	Fc fragment of IgE receptor II	8.712	0.077	0.020	0.061	no
SIRPA	signal regulatory protein alpha	6.875	0.077	0.027	0.054	no
FAM19A5	family with sequence similarity 19 member A5, C-C motif chemokine like	6.244	0.077	0.035	0.052	no
TP53	tumor protein p53	6.470	0.077	0.051	0.056	no
LRRN1	leucine rich repeat neuronal 1	7.456	0.077	0.024	0.059	no
CD207	CD207 molecule	7.092	0.077	0.025	0.053	no
CDCP1	CUB domain containing protein 1	6.120	0.076	0.029	0.065	no
PRCP	prolylcarboxypeptidase	5.087	0.076	0.048	0.074	no
IL10	interleukin 10	6.635	0.076	0.036	0.081	no
FCRL5	Fc receptor like 5	7.870	0.076	0.022	0.059	no
BIRC2	baculoviral IAP repeat containing 2	4.074	0.076	0.042	0.052	no
DLK1	delta like non-canonical Notch ligand 1	9.084	0.076	0.025	0.057	no
ANGPT2	angiopoietin 2	5.819	0.076	0.033	0.059	no
LCN2	lipocalin 2	5.144	0.076	0.033	0.058	no
CYR61	cysteine rich angiogenic inducer 61	8.883	0.075	0.042	0.050	no
DPP6	dipeptidyl peptidase like 6	6.164	0.075	0.024	0.057	no
IL4R	interleukin 4 receptor	5.530	0.075	0.046	0.090	yes
ACE2	angiotensin I converting enzyme 2	7.453	0.075	0.023	0.058	yes
CCL25	C-C motif chemokine ligand 25	9.179	0.075	0.022	0.054	no
CDSN	corneodesmosin	6.300	0.075	0.034	0.059	no
EGLN1	egl-9 family hypoxia inducible factor 1	4.546	0.075	0.038	0.057	no
ADGRG1	adhesion G protein-coupled receptor G1	4.915	0.074	0.039	0.078	no
BGN	biglycan	5.589	0.074	0.038	0.065	no
CCL28	C-C motif chemokine ligand 28	5.367	0.074	0.028	0.056	no
SERPINB8	serpin family B member 8	6.338	0.074	0.033	0.059	no
TLR3	toll like receptor 3	9.299	0.074	0.015	0.067	no
ANGPTL4	angiopoietin like 4	7.828	0.074	0.033	0.056	no
LGALS4	galectin 4	6.854	0.073	0.040	0.056	no
PADI2	peptidyl arginine deiminase 2	4.218	0.073	0.039	0.120	no
PTX3	pentraxin 3	7.470	0.073	0.030	0.059	no
PTK7	protein tyrosine kinase 7 (inactive)	4.993	0.073	0.043	0.079	no
NUDT5	nudix hydrolase 5	7.729	0.073	0.050	0.063	no
NCF2	neutrophil cytosolic factor 2	7.051	0.073	0.033	0.055	no
GIF	gastric intrinsic factor	10.478	0.072	0.023	0.053	no
IL2RA	interleukin 2 receptor subunit alpha	6.530	0.072	0.029	0.053	yes
CRTAM	cytotoxic and regulatory T cell molecule	8.108	0.072	0.026	0.059	no
SORCS2	sortilin related VPS10 domain containing receptor 2	5.192	0.072	0.031	0.066	no
NCR1	natural cytotoxicity triggering receptor 1	5.566	0.072	0.029	0.054	no
MIF	macrophage migration inhibitory factor	11.662	0.072	0.052	0.063	no
CST5	cystatin D	8.583	0.072	0.021	0.052	no
MFAP5	microfibril associated protein 5	4.630	0.072	0.042	0.052	no
LILRB4	leukocyte immunoglobulin like receptor B4	6.985	0.072	0.020	0.057	no
MMP12	matrix metallopeptidase 12	9.558	0.072	0.022	0.069	yes
COL1A1	collagen type I alpha 1 chain	6.215	0.072	0.031	0.053	yes
CSNK1D	casein kinase 1 delta	4.783	0.071	0.038	0.117	no
ZBTB17	zinc finger and BTB domain containing 17	5.669	0.071	0.039	0.056	no
SPINK1	serine peptidase inhibitor, Kazal type 1	7.661	0.071	0.027	0.050	no
KLRD1	killer cell lectin like receptor D1	9.959	0.071	0.015	0.052	no
REN	renin	11.546	0.071	0.022	0.053	yes
DPP10	dipeptidyl peptidase like 10	4.822	0.071	0.029	0.106	no
CES2	carboxylesterase 2	4.814	0.071	0.035	0.094	no
ANXA1	annexin A1	7.242	0.071	0.043	0.050	yes
FCN2	ficolin 2	8.934	0.071	0.021	0.053	no
GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2	5.177	0.071	0.027	0.060	no
FRZB	frizzled related protein	6.443	0.071	0.024	0.052	no
LGALS7	galectin 7	6.847	0.071	0.032	0.053	no
CA1	carbonic anhydrase 1	8.970	0.070	0.038	0.053	yes
CD6	CD6 molecule	8.692	0.070	0.030	0.048	no
VWC2	von Willebrand factor C domain containing 2	7.643	0.070	0.023	0.056	no
KLK10	kallikrein related peptidase 10	6.397	0.070	0.031	0.047	no
NBN	nibrin	5.461	0.070	0.036	0.066	no
SEZ6L2	seizure related 6 homolog like 2	3.464	0.070	0.035	0.051	no
SELP	selectin P	14.109	0.069	0.042	0.051	no
VSIG2	V-set and immunoglobulin domain containing 2	7.167	0.069	0.033	0.052	no
CD300LG	CD300 molecule like family member g	8.515	0.069	0.022	0.047	no
KLK6	kallikrein related peptidase 6	5.680	0.069	0.038	0.055	no
INHBC	inhibin beta C subunit	7.145	0.069	0.031	0.052	no
